head,tail,relationship,product
中国电器科学研究院股份有限公司,动力电池组,生产,动力电池组
江苏远航精密合金科技股份有限公司,动力电池组,生产,动力电池组
湖北回天新材料股份有限公司,动力电池组,生产,动力电池组
东风电子科技股份有限公司,电机,生产,电机
精进电动科技股份有限公司,电机,生产,电机
英飞特电子（杭州）股份有限公司,电机,生产,电机
东风电子科技股份有限公司,汽车电子,生产,汽车电子
浙江亚太机电股份有限公司,汽车电子,生产,汽车电子
沪士电子股份有限公司,汽车电子,生产,汽车电子
镇江东方电热科技股份有限公司,电控,生产,电控
江苏东方电热器制造有限公司,电控,生产,电控
云度新能源汽车有限公司,电控,生产,电控
