head,tail,relationship,product
江苏新雷模塑有限公司,仪表盘,生产,仪表盘
广州通达汽车电气股份有限公司,车身,生产,车身
湖南省美程陶瓷科技有限公司,车身,生产,车身
扬州曙光电缆股份有限公司,车身,生产,车身
合肥亿恒智能科技有限公司,车饰板,生产,车饰板
江苏云意电气股份有限公司,车饰板,生产,车饰板
山东铨盛重工有限公司,车饰板,生产,车饰板
中国汽车工程研究院股份有限公司,底盘,生产,底盘
徐州海伦哲专用车辆股份有限公司,底盘,生产,底盘
广州天幸机电设备有限公司,底盘,生产,底盘
大陆马牌轮胎（中国）有限公司,轮胎,生产,轮胎
大连固特异轮胎有限公司,轮胎,生产,轮胎
米其林（中国）投资有限公司,轮胎,生产,轮胎
台州金纳车桥有限公司,车桥,生产,车桥
东风德纳车桥有限公司,车桥,生产,车桥
青岛青特众力车桥有限公司,车桥,生产,车桥
爱德克斯（常州）管理有限公司,刹车片,生产,刹车片
卡莱集团,刹车片,生产,刹车片
湖州德卡斯电子有限公司,刹车片,生产,刹车片
江苏盛安传动股份公司,传动轴,生产,传动轴
安徽航大智能科技有限公司,传动轴,生产,传动轴
山东得普达电机股份有限公司,减震器,生产,减震器
苏州沃泰尔精密模具机械有限公司,减震器,生产,减震器
华晨鑫源重庆汽车有限公司,减震器,生产,减震器
