head,tail,relationship
中国电器科学研究院股份有限公司,广东中创智家科学研究有限公司,对外投资
中国电器科学研究院股份有限公司,通用机械关键核心基础件创新中心（安徽）有限公司,对外投资
中国电器科学研究院股份有限公司,江西威能汽车检测中心有限公司,对外投资
